CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Age Group,Customer Segment,Income-Spending Cluster
0116,Female,19,65,50,Under 25,Balanced shoppers,5
0117,Female,63,65,43,55+,Balanced shoppers,5
0118,Female,49,65,59,45-54,Balanced shoppers,5
0119,Female,51,67,43,45-54,Balanced shoppers,5
0120,Female,50,67,57,45-54,Balanced shoppers,5
0121,Male,27,67,56,25-34,Balanced shoppers,5
0122,Female,38,67,40,35-44,Balanced shoppers,5
0123,Female,40,69,58,35-44,Balanced shoppers,5
0124,Male,39,69,91,35-44,Active shoppers,1
0125,Female,23,70,29,Under 25,"High income, low spend",2
0126,Female,31,70,77,25-34,Premium targets,1
0127,Male,43,71,35,35-44,"High income, low spend",2
0128,Male,40,71,95,35-44,Premium targets,1
0129,Male,59,71,11,55+,"High income, low spend",2
0130,Male,38,71,75,35-44,Premium targets,1
0131,Male,47,71,9,45-54,"High income, low spend",2
0132,Male,39,71,75,35-44,Premium targets,1
0133,Female,25,72,34,25-34,"High income, low spend",2
0134,Female,31,72,71,25-34,Premium targets,1
0135,Male,20,73,5,Under 25,"High income, low spend",2
0136,Female,29,73,88,25-34,Premium targets,1
0137,Female,44,73,7,35-44,"High income, low spend",2
0138,Male,32,73,73,25-34,Premium targets,1
0139,Male,19,74,10,Under 25,"High income, low spend",2
0140,Female,35,74,72,35-44,Premium targets,1
0141,Female,57,75,5,55+,"High income, low spend",2
0142,Male,32,75,93,25-34,Premium targets,1
0143,Female,28,76,40,25-34,Balanced shoppers,2
0144,Female,32,76,87,25-34,Premium targets,1
0145,Male,25,77,12,25-34,"High income, low spend",2
0146,Male,28,77,97,25-34,Premium targets,1
0147,Male,48,77,36,45-54,"High income, low spend",2
0148,Female,32,77,74,25-34,Premium targets,1
0149,Female,34,78,22,25-34,"High income, low spend",2
0150,Male,34,78,90,25-34,Premium targets,1
0151,Male,43,78,17,35-44,"High income, low spend",2
0152,Male,39,78,88,35-44,Premium targets,1
0153,Female,44,78,20,35-44,"High income, low spend",2
0154,Female,38,78,76,35-44,Premium targets,1
0155,Female,47,78,16,45-54,"High income, low spend",2
0156,Female,27,78,89,25-34,Premium targets,1
0157,Male,37,78,1,35-44,"High income, low spend",2
0158,Female,30,78,78,25-34,Premium targets,1
0159,Male,34,78,1,25-34,"High income, low spend",2
0160,Female,30,78,73,25-34,Premium targets,1
0161,Female,56,79,35,55+,"High income, low spend",2
0162,Female,29,79,83,25-34,Premium targets,1
0163,Male,19,81,5,Under 25,"High income, low spend",2
0164,Female,31,81,93,25-34,Premium targets,1
0165,Male,50,85,26,45-54,"High income, low spend",2
0166,Female,36,85,75,35-44,Premium targets,1
0167,Male,42,86,20,35-44,"High income, low spend",2
0168,Female,33,86,95,25-34,Premium targets,1
0169,Female,36,87,27,35-44,"High income, low spend",2
0170,Male,32,87,63,25-34,Premium targets,1
0171,Male,40,87,13,35-44,"High income, low spend",2
0172,Male,28,87,75,25-34,Premium targets,1
0173,Male,36,87,10,35-44,"High income, low spend",2
0174,Male,36,87,92,35-44,Premium targets,1
0175,Female,52,88,13,45-54,"High income, low spend",2
0176,Female,30,88,86,25-34,Premium targets,1
0177,Male,58,88,15,55+,"High income, low spend",2
0178,Male,27,88,69,25-34,Premium targets,1
0179,Male,59,93,14,55+,"High income, low spend",2
0180,Male,35,93,90,35-44,Premium targets,1
0181,Female,37,97,32,35-44,"High income, low spend",2
0182,Female,32,97,86,25-34,Premium targets,1
0183,Male,46,98,15,45-54,"High income, low spend",2
0184,Female,29,98,88,25-34,Premium targets,1
0185,Female,41,99,39,35-44,"High income, low spend",4
0186,Male,30,99,97,25-34,Premium targets,1
0187,Female,54,101,24,45-54,"High income, low spend",2
0188,Male,28,101,68,25-34,Premium targets,1
0189,Female,41,103,17,35-44,"High income, low spend",2
0190,Female,36,103,85,35-44,Premium targets,1
0191,Female,34,103,23,25-34,"High income, low spend",2
0192,Female,32,103,69,25-34,Premium targets,1
0193,Male,33,113,8,25-34,"High income, low spend",2
0194,Female,38,113,91,35-44,Premium targets,1
0195,Female,47,120,16,45-54,"High income, low spend",4
0196,Female,35,120,79,35-44,Premium targets,4
0197,Female,45,126,28,45-54,"High income, low spend",4
0198,Male,32,126,74,25-34,Premium targets,4
0199,Male,32,137,18,25-34,"High income, low spend",4
0200,Male,30,137,83,25-34,Premium targets,4
